ID_PARTICIPANTE,TASK_NUMBER,TIME_OF_EVENT,TASK_CLICK_NUMBER,EVENT
0,1,738579.19:09:33.7327230,1,Open: 260
0,1,738579.19:09:35.6060850,2,PersonalInfo/GeneralStationInfo/Buttons/CycleTimesButton
0,1,738579.19:09:37.3400659,3,PersonalInfo/CycleTimesMain/TitleBar/Buttons/BackButton
0,2,738579.19:09:40.2714887,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
0,2,738579.19:09:42.1190386,2,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
0,3,738579.19:09:45.5055351,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
0,3,738579.19:09:47.3926200,2,HandMenu/LineMonitoringMenu/FilterButton
0,3,738579.19:09:48.2451223,3,HandMenu/LineMonitoringMenu/FilterButtonCollection/BottleneckButton
0,3,738579.19:09:53.6873178,4,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton
0,3,738579.19:09:58.0242173,5,HandMenu/LineMonitoringMenu/CancelFilteringButton
0,4,738579.19:10:00.0859618,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
0,4,738579.19:10:02.6256250,2,HandMenu/LineMonitoringMenu/FilterButton
0,4,738579.19:10:03.3011328,3,HandMenu/LineMonitoringMenu/FilterButtonCollection/AllButton
0,4,738579.19:10:03.9396401,4,HandMenu/LineMonitoringMenu/CancelFilteringButton
0,4,738579.19:10:04.9484747,5,Open: 290
0,4,738579.19:10:06.4093747,6,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
0,4,738579.19:10:06.9938775,7,PersonalInfo/KPIsMain/Buttons/OEEButton
0,4,738579.19:10:08.1844589,8,PersonalInfo/KPIsSpecific/ShiftNumberSlider
0,4,738579.19:10:09.5416312,9,PersonalInfo/KPIsSpecific/ShiftNumberSlider
0,4,738579.19:10:09.8015471,10,PersonalInfo/KPIsSpecific/ShiftNumberSlider
0,4,738579.19:10:10.4346565,11,PersonalInfo/KPIsSpecific/ShiftNumberSlider
0,4,738579.19:10:12.2173991,12,PersonalInfo/KPIsSpecific/ShiftNumberSlider
0,4,738579.19:10:13.5197704,13,PersonalInfo/KPIsSpecific/ShiftNumberSlider
0,5,738579.19:10:15.9718406,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
0,5,738579.19:10:18.1452130,2,PersonalInfo/KPIsSpecific/TitleBar/Buttons/BackButton
0,5,738579.19:10:18.8488342,3,PersonalInfo/KPIsMain/Buttons/PartCountButton
0,5,738579.19:10:21.4000398,4,Open: 260
0,5,738579.19:10:22.5457917,5,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
0,5,738579.19:10:23.0297942,6,PersonalInfo/KPIsMain/Buttons/PartCountButton
0,5,738579.19:10:26.3681606,7,PersonalInfo/KPIsSpecific/ShiftNumberSlider
0,6,738579.19:10:31.2753616,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
1,1,738587.17:18:37.6978795,1,Open: 260
1,1,738587.17:18:43.2100194,2,PersonalInfo/GeneralStationInfo/Buttons/CycleTimesButton
1,2,738587.17:19:20.4012213,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
1,2,738587.17:19:31.5179478,2,PersonalInfo/CycleTimesMain/TitleBar/Buttons/BackButton
1,2,738587.17:19:33.1759866,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
1,3,738587.17:19:52.6941830,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
1,3,738587.17:19:58.8582872,2,PersonalInfo/KPIsMain/TitleBar/Buttons/BackButton
1,4,738587.17:20:12.4368569,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
1,4,738587.17:20:37.1145985,2,Open: 290
1,4,738587.17:21:05.4036893,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
1,4,738587.17:21:11.7333373,4,PersonalInfo/KPIsMain/Buttons/OEEButton
1,4,738587.17:21:21.4288843,5,PersonalInfo/KPIsSpecific/ShiftNumberSlider
1,4,738587.17:21:33.1815188,6,PersonalInfo/KPIsSpecific/ShiftNumberSlider
