ID_PARTICIPANTE,TASK_NUMBER,TASK_COMPLETION_TIME,NUMBER_OF_CLICKS_TO_TO_COMPLETE_THE_TASK
0,1,00:00:10.1988616,3
0,2,00:00:05.2325463,2
0,3,00:00:14.5794285,5
0,4,00:00:15.8843762,13
0,5,00:00:15.3020107,7
1,1,00:01:04.4311059,2
1,2,00:00:32.2909604,3
1,3,00:00:19.7416655,2
1,4,00:02:27.6139574,10
1,5,00:01:43.6659190,11
2,1,00:00:41.5155868,2
2,2,00:00:58.8072915,5
2,3,00:00:18.6167610,1
2,4,00:01:15.7432814,10
2,5,00:01:04.1328882,7
3,1,00:00:28.5339053,0
3,2,00:00:28.1803714,3
3,3,00:00:15.9167056,1
3,4,00:02:07.8045824,17
3,5,00:01:07.6040506,7
4,1,00:00:39.1370466,7
4,2,00:00:30.5650114,4
4,3,00:00:12.3162884,1
4,4,00:00:44.5372071,6
4,5,00:00:44.4929880,7
5,1,00:00:35.9496881,0
5,2,00:00:50.4834452,3
5,3,00:00:21.9159644,3
5,4,00:02:29.5249117,12
5,5,00:02:43.7494512,12
6,1,00:00:35.4238474,0
6,2,00:00:31.6487079,4
6,3,00:00:18.3651633,1
6,4,00:00:59.9856624,8
6,5,00:01:01.9781440,11
7,1,00:01:16.5996182,15
7,2,00:00:37.3842553,4
7,3,00:00:23.5367867,2
7,4,00:02:47.1166546,9
7,5,00:01:14.6424117,6
8,1,00:00:37.1688113,0
8,2,00:00:49.2497810,4
8,3,00:00:13.6778893,1
8,4,00:01:11.2684195,6
8,5,00:00:58.4975610,7
