event,station,element,id,task,timestamp,lx,ly,vis_id,attr,value,vis-id,environment
finish_task,-1,icon,1,1,1678382940508,1067.0,171.0,,,,,tablet
select_station,-1,list,1,2,1678382946004,966.0,293.0,,,,,tablet
select_station,270,list,1,2,1678382946416,960.0,323.0,,,,,tablet
select_station,290,list,1,2,1678382949645,943.0,287.0,,,,,tablet
select_station,270,list,1,2,1678382950862,960.0,256.0,,,,,tablet
select_station,260,list,1,2,1678382951912,942.0,256.0,,,,,tablet
select_station,-1,list,1,2,1678382952466,938.0,290.0,,,,,tablet
select_station,270,list,1,2,1678382952858,932.0,323.0,,,,,tablet
select_station,260,map,1,2,1678382954692,238.0,299.0,,,,,tablet
select_station,-1,map,1,2,1678382955709,238.0,294.0,,,,,tablet
select_station,290,map,1,2,1678382957876,561.0,62.0,,,,,tablet
select_station,270,map,1,2,1678382958124,596.0,150.0,,,,,tablet
select_station,260,map,1,2,1678382959093,220.0,302.0,,,,,tablet
show_filters,260,icon,1,2,1678382970845,88.0,399.0,,,,,tablet
show_kpi,260,icon,1,2,1678382976045,85.0,463.0,,,,,tablet
finish_task,-1,icon,1,2,1678382983395,1074.0,180.0,,,,,tablet
select_station,-1,list,1,3,1678382989096,1023.0,275.0,,,,,tablet
finish_task,-1,icon,1,3,1678382992730,1077.0,174.0,,,,,tablet
select_station,-1,list,1,4,1678382997851,969.0,303.0,,,,,tablet
show_kpi,290,icon,1,4,1678383000504,86.0,464.0,,,,,tablet
select_attr,290,vis,1,4,1678383006517,240.0,126.0,1.0,oee,,,tablet
set_slider,290,vis,1,4,1678383011140,,,3.0,oee,13,,tablet
set_slider,290,vis,1,4,1678383013002,,,3.0,oee,10,,tablet
set_slider,290,vis,1,4,1678383015973,,,3.0,oee,11,,tablet
finish_task,-1,icon,1,4,1678383028098,1072.0,165.0,,,,,tablet
select_station,-1,list,1,5,1678383036922,974.0,272.0,,,,,tablet
show_kpi,260,icon,1,5,1678383060708,87.0,465.0,,,,,tablet
select_attr,260,vis,1,5,1678383062611,519.0,144.0,1.0,partCount,,,tablet
set_slider,260,vis,1,5,1678383067731,,,3.0,partCount,11,,tablet
finish_task,-1,icon,1,5,1678383075102,1072.0,208.0,,,,,tablet
finish_task,-1,icon,2,1,1678383501409,1079.0,156.0,,,,,tablet
select_station,-1,list,2,2,1678383506808,1059.0,259.0,,,,,tablet
show_filters,260,icon,2,2,1678383508622,80.0,397.0,,,,,tablet
show_kpi,260,icon,2,2,1678383509308,75.0,452.0,,,,,tablet
finish_task,-1,icon,2,2,1678383520287,1071.0,188.0,,,,,tablet
finish_task,-1,icon,2,3,1678383555308,1073.0,172.0,,,,,tablet
select_station,-1,list,2,4,1678383559462,1046.0,297.0,,,,,tablet
show_cycle,290,icon,2,4,1678383563499,141.0,466.0,,,,,tablet
show_kpi,290,icon,2,4,1678383565480,90.0,422.0,,,,,tablet
select_attr,290,vis,2,4,1678383566815,227.0,118.0,1.0,oee,,,tablet
finish_task,-1,icon,2,4,1678383579200,1074.0,166.0,,,,,tablet
select_station,-1,list,2,5,1678383587421,1045.0,278.0,,,,,tablet
show_cycle,260,icon,2,5,1678383588865,139.0,464.0,,,,,tablet
show_kpi,260,icon,2,5,1678383590261,72.0,423.0,,,,,tablet
select_attr,260,vis,2,5,1678383591584,531.0,116.0,1.0,partCount,,,tablet
finish_task,-1,icon,2,5,1678383599290,1065.0,205.0,,,,,tablet
start_evaluation,-1,page,3,1,1678441424981,,,,,,,tablet
select_station,-1,list,3,1,1678441451122,977.0,238.0,,,,,tablet
finish_task,-1,icon,3,1,1678441456481,1093.0,170.0,,,,,tablet
select_station,260,map,3,2,1678441465512,220.0,296.0,,,,,tablet
show_filters,260,icon,3,2,1678441466261,74.0,405.0,,,,,tablet
show_kpi,260,icon,3,2,1678441466876,71.0,476.0,,,,,tablet
finish_task,-1,icon,3,2,1678441512358,1095.0,186.0,,,,,tablet
finish_task,-1,icon,3,3,1678441524417,1075.0,159.0,,,,,tablet
select_station,290,map,3,4,1678441529249,558.0,49.0,,,,,tablet
