ID_PARTICIPANTE,TASK_NUMBER,TASK_COMPLETION_TIME,NUMBER_OF_CLICKS_TO_TO_COMPLETE_THE_TASK,environment
1,2,7.943,4,tablet
2,2,42.887,15,tablet
3,2,18.878,4,tablet
4,2,55.877,4,tablet
5,2,30.057,3,tablet
6,2,55.077,4,tablet
7,2,18.536,3,tablet
8,2,14.369,5,tablet
0,2,40.26,4,tablet
1,3,9.44,2,tablet
2,3,9.335,2,tablet
3,3,35.021,1,tablet
4,3,12.059,1,tablet
5,3,36.482,7,tablet
6,3,14.374,2,tablet
7,3,11.538,1,tablet
8,3,13.895,1,tablet
0,3,16.639,1,tablet
1,4,16.514,5,tablet
2,4,35.368,7,tablet
3,4,23.892,5,tablet
4,4,73.975,7,tablet
5,4,43.136,8,tablet
6,4,84.725,11,tablet
7,4,46.683,10,tablet
8,4,28.305,6,tablet
0,4,32.293,4,tablet
1,5,15.08,5,tablet
2,5,47.004,5,tablet
3,5,20.09,5,tablet
4,5,43.876,6,tablet
5,5,48.368,12,tablet
6,5,24.105,5,tablet
7,5,37.101,5,tablet
8,5,32.323,6,tablet
0,5,55.723,6,tablet
1,1,3.599,2,tablet
2,1,0.0,1,tablet
3,1,0.0,1,tablet
4,1,31.5,3,tablet
5,1,81.104,29,tablet
6,1,17.354,2,tablet
7,1,17.554,9,tablet
8,1,4.101,2,tablet
0,1,17.677,3,tablet
