timestamp,TASK_CLICK_NUMBER,fullEvent,id,task,event,context,subcontext,attr,station,environment,element,lx,ly,vis_id,value,vis-id,time,time_shift
2023-03-10 19:09:33.732,1.0,Open: 260,0,1,select_station,,,,260,ar,,,,,,,0.0,
2023-03-10 19:09:35.606,2.0,PersonalInfo/GeneralStationInfo/Buttons/CycleTimesButton,0,1,show_cycle,personal,,,,ar,,,,,,,1.874000072479248,1.874000072479248
2023-03-10 19:09:37.340,3.0,PersonalInfo/CycleTimesMain/TitleBar/Buttons/BackButton,0,1,back,personal,cycle_time_main,,,ar,,,,,,,3.607999801635742,1.7339997291564941
2023-03-10 19:09:40.271,1.0,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,0,2,finish_task,,,,,ar,,,,,,,0.0,
2023-03-10 19:09:42.119,2.0,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton,0,2,show_kpi,personal,,,,ar,,,,,,,1.8479998111724854,1.8479998111724854
2023-03-10 19:09:45.505,1.0,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,0,3,finish_task,,,,,ar,,,,,,,0.0,
2023-03-10 19:09:47.392,2.0,HandMenu/LineMonitoringMenu/FilterButton,0,3,show_filters,,,,,ar,,,,,,,1.8870000839233398,1.8870000839233398
2023-03-10 19:09:48.245,3.0,HandMenu/LineMonitoringMenu/FilterButtonCollection/BottleneckButton,0,3,bottleneck,handmenu,,,,ar,,,,,,,2.740000009536743,0.8529999256134033
2023-03-10 19:09:53.687,4.0,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton,0,3,close,personal,kpi_main,,,ar,,,,,,,8.182000160217285,5.442000150680542
2023-03-10 19:09:58.024,5.0,HandMenu/LineMonitoringMenu/CancelFilteringButton,0,3,cancel_filter,handmenu,,,,ar,,,,,,,12.519000053405762,4.336999893188477
2023-03-10 19:10:00.085,1.0,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,0,4,finish_task,,,,,ar,,,,,,,0.0,
